user_id,recency_days,sessions_7d,watch_minutes_7d,avg_watch_ratio_7d,avg_completion_rate_7d,sessions_14d,watch_minutes_14d,avg_watch_ratio_14d,avg_completion_rate_14d,sessions_30d,watch_minutes_30d,avg_watch_ratio_30d,avg_completion_rate_30d,dow_entropy_30d,weekend_share_30d,gap_mean_days_30d,gap_std_days_30d,genre_share_Action,genre_share_Adventure,genre_share_Animation,genre_share_Biography,genre_share_Comedy,genre_share_Fantasy,genre_share_History,genre_share_Sci-Fi,genre_share_War,genre_share_Western,genre_share_other,device_share_Desktop,device_share_Laptop,device_share_Mobile,device_share_Smart TV,device_share_Tablet,device_share_sum_top,sessions_in_horizon,churn,horizon_days,cutoff_date,feature_window_days
user_01185,12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.92,1,0.0,0.0,0.92,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0,14,2025-12-17,30
user_06236,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,167.5,0.0,0.645,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,14,2025-12-17,30
user_04298,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.773,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,14,2025-12-17,30
user_04860,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3229999999999999,1,0.0,0.0,0.3229999999999999,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,14,2025-12-17,30
user_06332,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,45.2,0.8692307692307693,0.64,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,14,2025-12-17,30
user_03562,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,88.5,1.5803571428571428,0.129,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,14,2025-12-17,30
user_09763,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,25.2,0.2545454545454545,0.568,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,14,2025-12-17,30
user_05057,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,67.3,0.7493421052631579,0.095,0.6931471805599453,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,1,14,2025-12-17,30
user_06911,2,1.0,38.4,0.4085106382978723,0.79,2.0,38.4,0.4085106382978723,0.8654999999999999,3,64.1,0.33672954595305987,0.9076666666666666,0.6365141682948128,0.0,6.5,0.5,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,2.0,0,14,2025-12-17,30
user_00207,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,37.3,0.3586538461538461,0.7759999999999999,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,14,2025-12-17,30
user_06375,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.96,1,0.0,0.0,0.96,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,14,2025-12-17,30
user_05865,7,0.0,0.0,0.0,0.0,1.0,138.6,0.0,0.47,1,138.6,0.0,0.47,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,14,2025-12-17,30
user_02932,8,0.0,0.0,0.0,0.0,1.0,16.9,0.1536363636363636,0.88,1,16.9,0.1536363636363636,0.88,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,14,2025-12-17,30
user_09875,4,1.0,14.9,0.3921052631578947,0.529,1.0,14.9,0.3921052631578947,0.529,1,14.9,0.3921052631578947,0.529,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,14,2025-12-17,30
user_04147,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.938,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,14,2025-12-17,30
user_06967,6,1.0,23.9,0.5829268292682926,0.46,1.0,23.9,0.5829268292682926,0.46,2,93.0,0.6796656618251575,0.54,0.6931471805599453,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.0,0.0,1,14,2025-12-17,30
user_03344,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,45.5,2.5277777777777777,0.241,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,14,2025-12-17,30
user_07422,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6829999999999999,1,0.0,0.0,0.6829999999999999,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,14,2025-12-17,30
user_06906,13,0.0,0.0,0.0,0.0,1.0,19.3,0.2053191489361702,0.286,1,19.3,0.2053191489361702,0.286,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,14,2025-12-17,30
user_00418,10,0.0,0.0,0.0,0.0,1.0,32.3,0.4614285714285714,0.894,1,32.3,0.4614285714285714,0.894,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,14,2025-12-17,30
user_01123,0,1.0,0.0,0.0,0.308,1.0,0.0,0.0,0.308,2,0.0,0.0,0.4405,0.6931471805599453,0.0,29.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,1,14,2025-12-17,30
user_07401,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.0,0.3421052631578947,0.432,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,14,2025-12-17,30
